,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
5569,1,21,3,-1,-1,-1
5576,2,35,3,-1,125,1
5612,1,27,2,-1,108,0
5626,1,17,2,-1,109,0
5630,3,-1,2,-1,49,6
5642,1,65,5,-1,996,12
5643,1,23,3,-1,125,1
5649,2,38,4,-1,599,6
5654,1,48,5,-1,865,9
5655,1,31,2,-1,108,3
5659,1,21,3,-1,125,5
5669,1,17,3,-1,109,3
5679,1,25,4,-1,125,0
5685,1,22,2,-1,125,4
5687,1,20,4,-1,125,3
5689,1,21,3,-1,108,3
5699,1,39,3,-1,108,7
5700,1,29,5,-1,750,14
5707,1,50,2,-1,49,7
5721,1,20,3,-1,108,8
5738,1,17,3,-1,125,1
5741,2,28,3,-1,123,8
